lr-Adam,step,train_loss_table,train_loss_column,train_loss,epoch,valid_loss_table,valid_loss_column,validation_loss,validation_iou_table,validation_iou_column,test_loss_table,test_loss_column,test_loss,test_iou_table,test_iou_column
4.005467385778585e-06,49,,,,,,,,,,,,,,
,49,0.8040946182231158,0.82787814028333,1.6319727585064459,0,,,,,,,,,,
4.0223168316259e-06,99,,,,,,,,,,,,,,
,99,0.7346944545812211,0.8020429811634898,1.536737435744711,0,,,,,,,,,,
,114,,,,0,0.6250279180188935,0.7187667602554693,1.3437946782743628,0.3067330126176739,0.23150224522358898,,,,,
4.05054661801324e-06,149,,,,,,,,,,,,,,
,149,0.6819868421548392,0.7813841530202912,1.4633709951751304,1,,,,,,,,,,
4.090150048815207e-06,199,,,,,,,,,,,,,,
,199,0.6402914794571701,0.704111534052341,1.344403013509511,1,,,,,,,,,,
,229,,,,1,0.620924569590589,0.7124698723414528,1.3333944419320418,0.3068499456535003,0.23174950597349067,,,,,
4.141117730069874e-06,249,,,,,,,,,,,,,,
,249,0.6719374568358512,0.7569507173215854,1.4288881741574366,2,,,,,,,,,,
4.203437572207011e-06,299,,,,,,,,,,,,,,
,299,0.7986629520437973,0.8483991330467255,1.6470620850905229,2,,,,,,,,,,
,344,,,,2,0.616594852355394,0.7054218760857541,1.3220167284411477,0.3069542148578986,0.23198662872285072,,,,,
4.277094792915813e-06,349,,,,,,,,,,,,,,
,349,0.5838577939860468,0.6889191840217689,1.2727769780078155,3,,,,,,,,,,
4.362071920651167e-06,399,,,,,,,,,,,,,,
,399,0.7062938637144548,0.7641864402879832,1.4704803040024381,3,,,,,,,,,,
4.458348798777991e-06,449,,,,,,,,,,,,,,
,449,0.6699527187395646,0.7478952627191218,1.4178479814586864,3,,,,,,,,,,
,459,,,,3,0.6119553304118578,0.6973564928408178,1.3093118232526757,0.3070576474828852,0.23223303058192254,,,,,
4.565902590352401e-06,499,,,,,,,,,,,,,,
,499,0.847472520132753,0.877953318448133,1.725425838580886,4,,,,,,,,,,
4.684707783538577e-06,549,,,,,,,,,,,,,,
,549,0.8455146457265329,0.8748345112977514,1.7203491570242844,4,,,,,,,,,,
,574,,,,4,0.6069496835097483,0.6874933135069047,1.2944429970166527,0.307165085815175,0.23248742933545494,,,,,
4.8147361976602865e-06,599,,,,,,,,,,,,,,
,599,0.721817607841515,0.7957215894565431,1.517539197298058,5,,,,,,,,,,
4.9559569898853224e-06,649,,,,,,,,,,,,,,
,649,0.6998978231410856,0.7719959773090451,1.4718938004501307,5,,,,,,,,,,
,689,,,,5,0.6016265932486903,0.6762711764707543,1.2778977697194451,0.30726433586340907,0.23277160543922773,,,,,
5.108336662541397e-06,699,,,,,,,,,,,,,,
,699,0.6548129250380503,0.7599223513333409,1.4147352763713912,6,,,,,,,,,,
5.2718390710618826e-06,749,,,,,,,,,,,,,,
,749,0.6423738148802971,0.7537635791356326,1.3961373940159296,6,,,,,,,,,,
5.4464254325592865e-06,799,,,,,,,,,,,,,,
,799,0.5835266033412569,0.5983789298527835,1.1819055331940405,6,,,,,,,,,,
,804,,,,6,0.5961908636873915,0.663618058473631,1.259808922161022,0.30735743214091843,0.23310251463308843,,,,,
5.632054335024601e-06,849,,,,,,,,,,,,,,
,849,0.6474828552762264,0.7732954093866908,1.4207782646629172,7,,,,,,,,,,
5.8286817471502685e-06,899,,,,,,,,,,,,,,
,899,0.7646076865532577,0.8323352933076349,1.5969429798608927,7,,,,,,,,,,
,919,,,,7,0.5903663313309213,0.6484373966666912,1.2388037279976123,0.3074540683394432,0.23358061268369795,,,,,
6.036261028774409e-06,949,,,,,,,,,,,,,,
,949,0.6058178691351614,0.6697053752121637,1.2755232443473252,8,,,,,,,,,,
6.254742941943925e-06,999,,,,,,,,,,,,,,
,999,0.7347409227810204,0.7842359574572533,1.5189768802382737,8,,,,,,,,,,
,1034,,,,8,0.5846720540906056,0.6305809606306626,1.2152530147212686,0.30754315415822914,0.23411893818476393,,,,,
6.4840756625937315e-06,1049,,,,,,,,,,,,,,
,1049,0.5277770404769919,0.6286982198874684,1.1564752603644604,9,,,,,,,,,,
6.724204792839573e-06,1099,,,,,,,,,,,,,,
,1099,0.7799207807383186,0.7993541708048603,1.5792749515431788,9,,,,,,,,,,
6.9750733738810746e-06,1149,,,,,,,,,,,,,,
,1149,0.5968732624303734,0.6245619536442495,1.221435216074623,9,,,,,,,,,,
,1149,,,,9,0.5788060116903789,0.6095681527341451,1.188374164424524,0.3076351565948453,0.23475692907760787,,,,,
7.2366218995125695e-06,1199,,,,,,,,,,,,,,
,1199,0.8576370185162081,0.859537343292401,1.717174361808609,10,,,,,,,,,,
7.508788330237931e-06,1249,,,,,,,,,,,,,,
,1249,0.567716427327385,0.6909951534593757,1.2587115807867608,10,,,,,,,,,,
,1264,,,,10,0.5727238406126478,0.591401490779072,1.1641253313917201,0.30771844903877027,0.235487951177444,,,,,
7.791508107986411e-06,1299,,,,,,,,,,,,,,
,1299,0.6550118132402671,0.6724938637644663,1.3275056770047335,11,,,,,,,,,,
8.084714171425773e-06,1349,,,,,,,,,,,,,,
,1349,0.5796396411029905,0.635199843275385,1.2148394843783756,11,,,,,,,,,,
,1379,,,,11,0.5655026606293931,0.5767589247923192,1.1422615854217124,0.3077960478400587,0.23633513280052645,,,,,
8.388336971869463e-06,1399,,,,,,,,,,,,,,
,1399,0.5802586214048138,0.5701637550216859,1.1504223764264996,12,,,,,,,,,,
8.702304489773455e-06,1449,,,,,,,,,,,,,,
